"assemblage","sequencing_depth","Method","expected_asvs","timepoint","hydro_group","samples","total_reads","observed_asvs_pooled"
"D07__Ctrl",29000,"Rarefaction",136.578882834284,"D07","Ctrl",15,623651,141
"D07__Ctrl",30000,"Rarefaction",136.700446900326,"D07","Ctrl",15,623651,141
"D07__Ctrl",31000,"Rarefaction",136.815112174326,"D07","Ctrl",15,623651,141
"D07__Ctrl",32000,"Rarefaction",136.923433720123,"D07","Ctrl",15,623651,141
"D07__Ctrl",33000,"Rarefaction",137.025909384476,"D07","Ctrl",15,623651,141
"D07__Ctrl",34000,"Rarefaction",137.122987300401,"D07","Ctrl",15,623651,141
"D07__Ctrl",35000,"Rarefaction",137.215072150989,"D07","Ctrl",15,623651,141
"D07__Ctrl",36000,"Rarefaction",137.302530442793,"D07","Ctrl",15,623651,141
"D07__Ctrl",37000,"Rarefaction",137.385694978776,"D07","Ctrl",15,623651,141
"D07__Ctrl",38000,"Rarefaction",137.464868678746,"D07","Ctrl",15,623651,141
"D07__Ctrl",39000,"Rarefaction",137.540327863662,"D07","Ctrl",15,623651,141
"D07__Ctrl",40000,"Rarefaction",137.61232509604,"D07","Ctrl",15,623651,141
"D07__Ctrl",41000,"Rarefaction",137.681091649791,"D07","Ctrl",15,623651,141
"D07__Ctrl",42000,"Rarefaction",137.746839668673,"D07","Ctrl",15,623651,141
"D07__Ctrl",43000,"Rarefaction",137.809764060075,"D07","Ctrl",15,623651,141
"D07__Ctrl",44000,"Rarefaction",137.87004416473,"D07","Ctrl",15,623651,141
"D07__Ctrl",45000,"Rarefaction",137.927845233722,"D07","Ctrl",15,623651,141
"D07__Ctrl",46000,"Rarefaction",137.98331973931,"D07","Ctrl",15,623651,141
"D07__Ctrl",47000,"Rarefaction",138.036608542571,"D07","Ctrl",15,623651,141
"D07__Ctrl",48000,"Rarefaction",138.08784193567,"D07","Ctrl",15,623651,141
"D07__Ctrl",49000,"Rarefaction",138.137140574658,"D07","Ctrl",15,623651,141
"D07__Ctrl",50000,"Rarefaction",138.184616317519,"D07","Ctrl",15,623651,141
"D07__Ctrl",51000,"Rarefaction",138.230372976621,"D07","Ctrl",15,623651,141
"D07__Ctrl",52000,"Rarefaction",138.274506998024,"D07","Ctrl",15,623651,141
"D07__Ctrl",53000,"Rarefaction",138.317108073671,"D07","Ctrl",15,623651,141
"D07__Ctrl",54000,"Rarefaction",138.358259695904,"D07","Ctrl",15,623651,141
"D07__Ctrl",55000,"Rarefaction",138.398039659423,"D07","Ctrl",15,623651,141
"D07__Ctrl",56000,"Rarefaction",138.436520516856,"D07","Ctrl",15,623651,141
"D07__Ctrl",57000,"Rarefaction",138.473769992472,"D07","Ctrl",15,623651,141
"D07__Ctrl",58000,"Rarefaction",138.509851359341,"D07","Ctrl",15,623651,141
"D07__Ctrl",59000,"Rarefaction",138.544823781302,"D07","Ctrl",15,623651,141
"D07__Ctrl",60000,"Rarefaction",138.57874262731,"D07","Ctrl",15,623651,141
"D07__Ctrl",61000,"Rarefaction",138.611659756019,"D07","Ctrl",15,623651,141
"D07__Ctrl",62000,"Rarefaction",138.643623777914,"D07","Ctrl",15,623651,141
"D07__Ctrl",63000,"Rarefaction",138.674680294281,"D07","Ctrl",15,623651,141
"D07__Ctrl",64000,"Rarefaction",138.704872116091,"D07","Ctrl",15,623651,141
"D07__Ctrl",65000,"Rarefaction",138.734239465038,"D07","Ctrl",15,623651,141
"D07__Ctrl",66000,"Rarefaction",138.762820158418,"D07","Ctrl",15,623651,141
"D07__Ctrl",67000,"Rarefaction",138.79064977835,"D07","Ctrl",15,623651,141
"D07__Ctrl",68000,"Rarefaction",138.81776182776,"D07","Ctrl",15,623651,141
"D07__Ctrl",69000,"Rarefaction",138.844187874156,"D07","Ctrl",15,623651,141
"D07__Ctrl",70000,"Rarefaction",138.869957681648,"D07","Ctrl",15,623651,141
"D07__Ctrl",71000,"Rarefaction",138.89509933298,"D07","Ctrl",15,623651,141
"D07__Ctrl",72000,"Rarefaction",138.919639342374,"D07","Ctrl",15,623651,141
"D07__Ctrl",73000,"Rarefaction",138.943602759281,"D07","Ctrl",15,623651,141
"D07__Ctrl",74000,"Rarefaction",138.967013264428,"D07","Ctrl",15,623651,141
"D07__Ctrl",75000,"Rarefaction",138.989893259014,"D07","Ctrl",15,623651,141
"D07__Ctrl",76000,"Rarefaction",139.012263946845,"D07","Ctrl",15,623651,141
"D07__Ctrl",77000,"Rarefaction",139.034145410567,"D07","Ctrl",15,623651,141
"D07__Ctrl",78000,"Rarefaction",139.055556682577,"D07","Ctrl",15,623651,141
"D07__Ctrl",79000,"Rarefaction",139.07651581074,"D07","Ctrl",15,623651,141
"D07__Ctrl",80000,"Rarefaction",139.097039918622,"D07","Ctrl",15,623651,141
"D07__Ctrl",81000,"Rarefaction",139.117145263175,"D07","Ctrl",15,623651,141
"D07__Ctrl",82000,"Rarefaction",139.136847286092,"D07","Ctrl",15,623651,141
"D07__Ctrl",83000,"Rarefaction",139.156160664009,"D07","Ctrl",15,623651,141
"D07__Ctrl",84000,"Rarefaction",139.175099353165,"D07","Ctrl",15,623651,141
"D07__Ctrl",85000,"Rarefaction",139.193676632456,"D07","Ctrl",15,623651,141
"D07__Ctrl",86000,"Rarefaction",139.211905142202,"D07","Ctrl",15,623651,141
"D07__Ctrl",87000,"Rarefaction",139.229796922356,"D07","Ctrl",15,623651,141
"D07__Ctrl",88000,"Rarefaction",139.247363445447,"D07","Ctrl",15,623651,141
"D07__Ctrl",89000,"Rarefaction",139.264615649807,"D07","Ctrl",15,623651,141
"D07__Ctrl",90000,"Rarefaction",139.281563969338,"D07","Ctrl",15,623651,141
"D07__Ctrl",91000,"Rarefaction",139.298218361409,"D07","Ctrl",15,623651,141
"D07__Ctrl",92000,"Rarefaction",139.31458833333,"D07","Ctrl",15,623651,141
"D07__Ctrl",93000,"Rarefaction",139.33068296712,"D07","Ctrl",15,623651,141
"D07__Ctrl",94000,"Rarefaction",139.346510941884,"D07","Ctrl",15,623651,141
"D07__Ctrl",95000,"Rarefaction",139.362080556426,"D07","Ctrl",15,623651,141
"D07__Ctrl",96000,"Rarefaction",139.377399748211,"D07","Ctrl",15,623651,141
"D07__Ctrl",97000,"Rarefaction",139.392476114056,"D07","Ctrl",15,623651,141
"D07__Ctrl",98000,"Rarefaction",139.407316926015,"D07","Ctrl",15,623651,141
"D07__Ctrl",99000,"Rarefaction",139.421929149766,"D07","Ctrl",15,623651,141
"D07__Ctrl",1e+05,"Rarefaction",139.436319459278,"D07","Ctrl",15,623651,141
"D07__Ctrl",101000,"Rarefaction",139.450494252241,"D07","Ctrl",15,623651,141
"D07__Ctrl",102000,"Rarefaction",139.464459663322,"D07","Ctrl",15,623651,141
"D07__Ctrl",103000,"Rarefaction",139.478221578283,"D07","Ctrl",15,623651,141
"D07__Ctrl",104000,"Rarefaction",139.491785645342,"D07","Ctrl",15,623651,141
"D07__Ctrl",105000,"Rarefaction",139.505157287041,"D07","Ctrl",15,623651,141
"D07__Ctrl",106000,"Rarefaction",139.51834171136,"D07","Ctrl",15,623651,141
"D07__Ctrl",107000,"Rarefaction",139.531343922268,"D07","Ctrl",15,623651,141
"D07__Ctrl",108000,"Rarefaction",139.544168728807,"D07","Ctrl",15,623651,141
"D07__Ctrl",109000,"Rarefaction",139.556820754961,"D07","Ctrl",15,623651,141
"D07__Ctrl",110000,"Rarefaction",139.569304447801,"D07","Ctrl",15,623651,141
"D07__Ctrl",111000,"Rarefaction",139.581624086223,"D07","Ctrl",15,623651,141
"D07__Ctrl",112000,"Rarefaction",139.593783788254,"D07","Ctrl",15,623651,141
"D07__Ctrl",113000,"Rarefaction",139.605787518672,"D07","Ctrl",15,623651,141
"D07__Ctrl",114000,"Rarefaction",139.617639095629,"D07","Ctrl",15,623651,141
"D07__Ctrl",115000,"Rarefaction",139.629342198065,"D07","Ctrl",15,623651,141
"D07__Ctrl",116000,"Rarefaction",139.640900370623,"D07","Ctrl",15,623651,141
"D07__Ctrl",117000,"Rarefaction",139.652317030844,"D07","Ctrl",15,623651,141
"D07__Ctrl",118000,"Rarefaction",139.663595473909,"D07","Ctrl",15,623651,141
"D07__Ctrl",119000,"Rarefaction",139.674738878466,"D07","Ctrl",15,623651,141
"D07__Ctrl",120000,"Rarefaction",139.685750311137,"D07","Ctrl",15,623651,141
"D07__Ctrl",121000,"Rarefaction",139.696632732073,"D07","Ctrl",15,623651,141
"D07__Ctrl",122000,"Rarefaction",139.707388998684,"D07","Ctrl",15,623651,141
"D07__Ctrl",123000,"Rarefaction",139.718021870663,"D07","Ctrl",15,623651,141
"D07__Ctrl",124000,"Rarefaction",139.728534013378,"D07","Ctrl",15,623651,141
"D07__Ctrl",125000,"Rarefaction",139.738928002642,"D07","Ctrl",15,623651,141
"D07__Ctrl",126000,"Rarefaction",139.749206327712,"D07","Ctrl",15,623651,141
"D07__Ctrl",127000,"Rarefaction",139.759371395003,"D07","Ctrl",15,623651,141
"D07__Ctrl",128000,"Rarefaction",139.76942553169,"D07","Ctrl",15,623651,141
"D07__Ctrl",129000,"Rarefaction",139.779370988822,"D07","Ctrl",15,623651,141
"D07__Ctrl",130000,"Rarefaction",139.789209944345,"D07","Ctrl",15,623651,141
"D07__Ctrl",131000,"Rarefaction",139.798944505769,"D07","Ctrl",15,623651,141
"D07__Ctrl",132000,"Rarefaction",139.808576713433,"D07","Ctrl",15,623651,141
"D07__Ctrl",133000,"Rarefaction",139.818108543007,"D07","Ctrl",15,623651,141
"D07__Ctrl",134000,"Rarefaction",139.827541907716,"D07","Ctrl",15,623651,141
"D07__Ctrl",135000,"Rarefaction",139.836878661076,"D07","Ctrl",15,623651,141
"D07__Ctrl",136000,"Rarefaction",139.846120599217,"D07","Ctrl",15,623651,141
"D07__Ctrl",137000,"Rarefaction",139.855269462948,"D07","Ctrl",15,623651,141
"D07__Ctrl",138000,"Rarefaction",139.864326939877,"D07","Ctrl",15,623651,141
"D07__Ctrl",139000,"Rarefaction",139.873294666598,"D07","Ctrl",15,623651,141
"D07__Ctrl",140000,"Rarefaction",139.882174230537,"D07","Ctrl",15,623651,141
"D07__Ctrl",141000,"Rarefaction",139.890967171526,"D07","Ctrl",15,623651,141
"D07__Ctrl",142000,"Rarefaction",139.899674984203,"D07","Ctrl",15,623651,141
"D07__Ctrl",143000,"Rarefaction",139.908299119004,"D07","Ctrl",15,623651,141
"D07__Ctrl",144000,"Rarefaction",139.916840984288,"D07","Ctrl",15,623651,141
"D07__Ctrl",145000,"Rarefaction",139.925301947882,"D07","Ctrl",15,623651,141
"D07__Ctrl",146000,"Rarefaction",139.933683337862,"D07","Ctrl",15,623651,141
"D07__Ctrl",147000,"Rarefaction",139.941986445085,"D07","Ctrl",15,623651,141
"D07__Ctrl",148000,"Rarefaction",139.950212523803,"D07","Ctrl",15,623651,141
"D07__Ctrl",149000,"Rarefaction",139.958362793202,"D07","Ctrl",15,623651,141
"D07__Ctrl",150000,"Rarefaction",139.966438438665,"D07","Ctrl",15,623651,141
"D07__Ctrl",151000,"Rarefaction",139.974440612922,"D07","Ctrl",15,623651,141
"D07__Ctrl",152000,"Rarefaction",139.982370437175,"D07","Ctrl",15,623651,141
"D07__Ctrl",153000,"Rarefaction",139.990229002492,"D07","Ctrl",15,623651,141
"D07__Ctrl",154000,"Rarefaction",139.998017370453,"D07","Ctrl",15,623651,141
"D07__Ctrl",155000,"Rarefaction",140.005736574674,"D07","Ctrl",15,623651,141
"D07__Ctrl",156000,"Rarefaction",140.013387621208,"D07","Ctrl",15,623651,141
"D07__Ctrl",157000,"Rarefaction",140.02097149014,"D07","Ctrl",15,623651,141
"D07__Ctrl",158000,"Rarefaction",140.028489135833,"D07","Ctrl",15,623651,141
"D07__Ctrl",159000,"Rarefaction",140.035941488518,"D07","Ctrl",15,623651,141
"D07__Ctrl",160000,"Rarefaction",140.043329454414,"D07","Ctrl",15,623651,141
"D07__Ctrl",161000,"Rarefaction",140.050653917129,"D07","Ctrl",15,623651,141
"D07__Ctrl",162000,"Rarefaction",140.05791573811,"D07","Ctrl",15,623651,141
"D07__Ctrl",163000,"Rarefaction",140.065115757447,"D07","Ctrl",15,623651,141
"D07__Ctrl",164000,"Rarefaction",140.07225479481,"D07","Ctrl",15,623651,141
"D07__Ctrl",165000,"Rarefaction",140.079333649666,"D07","Ctrl",15,623651,141
"D07__Ctrl",166000,"Rarefaction",140.086353102736,"D07","Ctrl",15,623651,141
"D07__Ctrl",167000,"Rarefaction",140.093313915561,"D07","Ctrl",15,623651,141
"D07__Ctrl",168000,"Rarefaction",140.100216832264,"D07","Ctrl",15,623651,141
"D07__Ctrl",169000,"Rarefaction",140.107062579183,"D07","Ctrl",15,623651,141
"D07__Ctrl",170000,"Rarefaction",140.113851866182,"D07","Ctrl",15,623651,141
"D07__Ctrl",171000,"Rarefaction",140.120585386679,"D07","Ctrl",15,623651,141
"D07__Ctrl",172000,"Rarefaction",140.127263818474,"D07","Ctrl",15,623651,141
"D07__Ctrl",173000,"Rarefaction",140.133887824215,"D07","Ctrl",15,623651,141
"D07__Ctrl",174000,"Rarefaction",140.140458051773,"D07","Ctrl",15,623651,141
"D07__Ctrl",175000,"Rarefaction",140.146975134853,"D07","Ctrl",15,623651,141
"D07__Ctrl",176000,"Rarefaction",140.15343969344,"D07","Ctrl",15,623651,141
"D07__Ctrl",177000,"Rarefaction",140.159852334226,"D07","Ctrl",15,623651,141
"D07__Ctrl",178000,"Rarefaction",140.166213650815,"D07","Ctrl",15,623651,141
"D07__Ctrl",179000,"Rarefaction",140.17252422453,"D07","Ctrl",15,623651,141
"D07__Ctrl",180000,"Rarefaction",140.17878462465,"D07","Ctrl",15,623651,141
"D07__Ctrl",181000,"Rarefaction",140.184995408704,"D07","Ctrl",15,623651,141
"D07__Ctrl",182000,"Rarefaction",140.191157122795,"D07","Ctrl",15,623651,141
"D07__Ctrl",183000,"Rarefaction",140.197270302335,"D07","Ctrl",15,623651,141
"D07__Ctrl",184000,"Rarefaction",140.203335471817,"D07","Ctrl",15,623651,141
"D07__Ctrl",185000,"Rarefaction",140.209353145594,"D07","Ctrl",15,623651,141
"D07__Ctrl",186000,"Rarefaction",140.21532382805,"D07","Ctrl",15,623651,141
"D07__Ctrl",187000,"Rarefaction",140.221248013846,"D07","Ctrl",15,623651,141
"D07__Ctrl",188000,"Rarefaction",140.227126188269,"D07","Ctrl",15,623651,141
"D07__Ctrl",189000,"Rarefaction",140.232958827672,"D07","Ctrl",15,623651,141
"D07__Ctrl",190000,"Rarefaction",140.238746399468,"D07","Ctrl",15,623651,141
"D07__Ctrl",191000,"Rarefaction",140.244489362645,"D07","Ctrl",15,623651,141
"D07__Ctrl",192000,"Rarefaction",140.250188167801,"D07","Ctrl",15,623651,141
"D07__Ctrl",193000,"Rarefaction",140.255843257563,"D07","Ctrl",15,623651,141
"D07__Ctrl",194000,"Rarefaction",140.261455066749,"D07","Ctrl",15,623651,141
"D07__Ctrl",195000,"Rarefaction",140.267024022679,"D07","Ctrl",15,623651,141
"D07__Ctrl",196000,"Rarefaction",140.272550545231,"D07","Ctrl",15,623651,141
"D07__Ctrl",197000,"Rarefaction",140.278035047247,"D07","Ctrl",15,623651,141
"D07__Ctrl",198000,"Rarefaction",140.283477934695,"D07","Ctrl",15,623651,141
"D07__Ctrl",199000,"Rarefaction",140.288879606757,"D07","Ctrl",15,623651,141
"D07__Ctrl",2e+05,"Rarefaction",140.294240456079,"D07","Ctrl",15,623651,141
"D07__Ctrl",201000,"Rarefaction",140.299560869079,"D07","Ctrl",15,623651,141
"D07__Ctrl",202000,"Rarefaction",140.30484122591,"D07","Ctrl",15,623651,141
"D07__Ctrl",203000,"Rarefaction",140.310081900953,"D07","Ctrl",15,623651,141
"D07__Ctrl",204000,"Rarefaction",140.315283262598,"D07","Ctrl",15,623651,141
"D07__Ctrl",205000,"Rarefaction",140.32044567354,"D07","Ctrl",15,623651,141
"D07__Ctrl",206000,"Rarefaction",140.325569491135,"D07","Ctrl",15,623651,141
"D07__Ctrl",207000,"Rarefaction",140.330655067399,"D07","Ctrl",15,623651,141
"D07__Ctrl",208000,"Rarefaction",140.335702749137,"D07","Ctrl",15,623651,141
"D07__Ctrl",209000,"Rarefaction",140.340712877975,"D07","Ctrl",15,623651,141
"D07__Ctrl",210000,"Rarefaction",140.345685790792,"D07","Ctrl",15,623651,141
"D07__Ctrl",211000,"Rarefaction",140.350621819694,"D07","Ctrl",15,623651,141
"D07__Ctrl",212000,"Rarefaction",140.355521291961,"D07","Ctrl",15,623651,141
"D07__Ctrl",213000,"Rarefaction",140.360384530528,"D07","Ctrl",15,623651,141
"D07__Ctrl",214000,"Rarefaction",140.365211853881,"D07","Ctrl",15,623651,141
"D07__Ctrl",215000,"Rarefaction",140.370003576001,"D07","Ctrl",15,623651,141
"D07__Ctrl",216000,"Rarefaction",140.374760007007,"D07","Ctrl",15,623651,141
"D07__Ctrl",217000,"Rarefaction",140.379481452691,"D07","Ctrl",15,623651,141
"D07__Ctrl",218000,"Rarefaction",140.38416821504,"D07","Ctrl",15,623651,141
"D07__Ctrl",219000,"Rarefaction",140.388820591951,"D07","Ctrl",15,623651,141
"D07__Ctrl",220000,"Rarefaction",140.393438877674,"D07","Ctrl",15,623651,141
"D07__Ctrl",221000,"Rarefaction",140.39802336287,"D07","Ctrl",15,623651,141
"D07__Ctrl",222000,"Rarefaction",140.402574334292,"D07","Ctrl",15,623651,141
"D07__Ctrl",223000,"Rarefaction",140.407092075452,"D07","Ctrl",15,623651,141
"D07__Ctrl",224000,"Rarefaction",140.411576866336,"D07","Ctrl",15,623651,141
"D07__Ctrl",225000,"Rarefaction",140.416028983627,"D07","Ctrl",15,623651,141
"D07__Ctrl",226000,"Rarefaction",140.420448700653,"D07","Ctrl",15,623651,141
"D07__Ctrl",227000,"Rarefaction",140.424836287549,"D07","Ctrl",15,623651,141
"D07__Ctrl",228000,"Rarefaction",140.429192011399,"D07","Ctrl",15,623651,141
"D07__Ctrl",229000,"Rarefaction",140.433516136101,"D07","Ctrl",15,623651,141
"D07__Ctrl",230000,"Rarefaction",140.43780892269,"D07","Ctrl",15,623651,141
"D07__Ctrl",231000,"Rarefaction",140.442070629245,"D07","Ctrl",15,623651,141
"D07__Ctrl",232000,"Rarefaction",140.446301511021,"D07","Ctrl",15,623651,141
"D07__Ctrl",233000,"Rarefaction",140.45050182032,"D07","Ctrl",15,623651,141
"D07__Ctrl",234000,"Rarefaction",140.454671806919,"D07","Ctrl",15,623651,141
"D07__Ctrl",235000,"Rarefaction",140.458811717715,"D07","Ctrl",15,623651,141
"D07__Ctrl",236000,"Rarefaction",140.462921797158,"D07","Ctrl",15,623651,141
"D07__Ctrl",237000,"Rarefaction",140.467002286999,"D07","Ctrl",15,623651,141
"D07__Ctrl",238000,"Rarefaction",140.471053426409,"D07","Ctrl",15,623651,141
"D07__Ctrl",239000,"Rarefaction",140.475075452313,"D07","Ctrl",15,623651,141
"D07__Ctrl",240000,"Rarefaction",140.479068599061,"D07","Ctrl",15,623651,141
"D07__Ctrl",241000,"Rarefaction",140.483033098618,"D07","Ctrl",15,623651,141
"D07__Ctrl",242000,"Rarefaction",140.486969180587,"D07","Ctrl",15,623651,141
"D07__Ctrl",243000,"Rarefaction",140.490877072418,"D07","Ctrl",15,623651,141
"D07__Ctrl",244000,"Rarefaction",140.494756999204,"D07","Ctrl",15,623651,141
"D07__Ctrl",245000,"Rarefaction",140.498609183881,"D07","Ctrl",15,623651,141
"D07__Ctrl",246000,"Rarefaction",140.502433847124,"D07","Ctrl",15,623651,141
"D07__Ctrl",247000,"Rarefaction",140.506231207633,"D07","Ctrl",15,623651,141
"D07__Ctrl",248000,"Rarefaction",140.510001481893,"D07","Ctrl",15,623651,141
"D07__Ctrl",249000,"Rarefaction",140.513744884405,"D07","Ctrl",15,623651,141
"D07__Ctrl",250000,"Rarefaction",140.517461627579,"D07","Ctrl",15,623651,141
"D07__Ctrl",251000,"Rarefaction",140.521151921907,"D07","Ctrl",15,623651,141
"D07__Ctrl",252000,"Rarefaction",140.524815975868,"D07","Ctrl",15,623651,141
"D07__Ctrl",253000,"Rarefaction",140.528453996119,"D07","Ctrl",15,623651,141
"D07__Ctrl",254000,"Rarefaction",140.53206618723,"D07","Ctrl",15,623651,141
"D07__Ctrl",255000,"Rarefaction",140.535652752092,"D07","Ctrl",15,623651,141
"D07__Ctrl",256000,"Rarefaction",140.539213891666,"D07","Ctrl",15,623651,141
"D07__Ctrl",257000,"Rarefaction",140.542749805176,"D07","Ctrl",15,623651,141
"D07__Ctrl",258000,"Rarefaction",140.546260689952,"D07","Ctrl",15,623651,141
"D07__Ctrl",259000,"Rarefaction",140.549746741619,"D07","Ctrl",15,623651,141
"D07__Ctrl",260000,"Rarefaction",140.553208154192,"D07","Ctrl",15,623651,141
"D07__Ctrl",261000,"Rarefaction",140.556645119752,"D07","Ctrl",15,623651,141
"D07__Ctrl",262000,"Rarefaction",140.560057828883,"D07","Ctrl",15,623651,141
"D07__Ctrl",263000,"Rarefaction",140.563446470372,"D07","Ctrl",15,623651,141
"D07__Ctrl",264000,"Rarefaction",140.566811231559,"D07","Ctrl",15,623651,141
"D07__Ctrl",265000,"Rarefaction",140.570152297896,"D07","Ctrl",15,623651,141
"D07__Ctrl",266000,"Rarefaction",140.573469853484,"D07","Ctrl",15,623651,141
"D07__Ctrl",267000,"Rarefaction",140.576764080694,"D07","Ctrl",15,623651,141
"D07__Ctrl",268000,"Rarefaction",140.580035160396,"D07","Ctrl",15,623651,141
"D07__Ctrl",269000,"Rarefaction",140.583283271982,"D07","Ctrl",15,623651,141
"D07__Ctrl",270000,"Rarefaction",140.586508593245,"D07","Ctrl",15,623651,141
"D07__Ctrl",271000,"Rarefaction",140.589711300477,"D07","Ctrl",15,623651,141
"D07__Ctrl",272000,"Rarefaction",140.592891568482,"D07","Ctrl",15,623651,141
"D07__Ctrl",273000,"Rarefaction",140.596049570724,"D07","Ctrl",15,623651,141
"D07__Ctrl",274000,"Rarefaction",140.599185479031,"D07","Ctrl",15,623651,141
"D07__Ctrl",275000,"Rarefaction",140.602299463877,"D07","Ctrl",15,623651,141
"D07__Ctrl",276000,"Rarefaction",140.605391694369,"D07","Ctrl",15,623651,141
"D07__Ctrl",277000,"Rarefaction",140.6084623382,"D07","Ctrl",15,623651,141
"D07__Ctrl",278000,"Rarefaction",140.611511561574,"D07","Ctrl",15,623651,141
"D07__Ctrl",279000,"Rarefaction",140.614539529416,"D07","Ctrl",15,623651,141
"D07__Ctrl",280000,"Rarefaction",140.617546405277,"D07","Ctrl",15,623651,141
"D07__Ctrl",281000,"Rarefaction",140.620532351332,"D07","Ctrl",15,623651,141
"D07__Ctrl",282000,"Rarefaction",140.623497528481,"D07","Ctrl",15,623651,141
"D07__Ctrl",283000,"Rarefaction",140.626442096219,"D07","Ctrl",15,623651,141
"D07__Ctrl",284000,"Rarefaction",140.629366212855,"D07","Ctrl",15,623651,141
"D07__Ctrl",285000,"Rarefaction",140.632270035234,"D07","Ctrl",15,623651,141
"D07__Ctrl",286000,"Rarefaction",140.635153719117,"D07","Ctrl",15,623651,141
"D07__Ctrl",287000,"Rarefaction",140.638017418798,"D07","Ctrl",15,623651,141
"D07__Ctrl",288000,"Rarefaction",140.640861287535,"D07","Ctrl",15,623651,141
"D07__Ctrl",289000,"Rarefaction",140.643685477084,"D07","Ctrl",15,623651,141
"D07__Ctrl",290000,"Rarefaction",140.646490138134,"D07","Ctrl",15,623651,141
"D07__Ctrl",291000,"Rarefaction",140.649275420152,"D07","Ctrl",15,623651,141
"D07__Ctrl",292000,"Rarefaction",140.652041471288,"D07","Ctrl",15,623651,141
"D07__Ctrl",293000,"Rarefaction",140.65478843859,"D07","Ctrl",15,623651,141
"D07__Ctrl",294000,"Rarefaction",140.657516467832,"D07","Ctrl",15,623651,141
"D07__Ctrl",295000,"Rarefaction",140.660225703653,"D07","Ctrl",15,623651,141
"D07__Ctrl",296000,"Rarefaction",140.662916289511,"D07","Ctrl",15,623651,141
"D07__Ctrl",297000,"Rarefaction",140.66558836761,"D07","Ctrl",15,623651,141
"D07__Ctrl",298000,"Rarefaction",140.668242079172,"D07","Ctrl",15,623651,141
"D07__Ctrl",299000,"Rarefaction",140.670877564151,"D07","Ctrl",15,623651,141
"D07__Ctrl",3e+05,"Rarefaction",140.673494961298,"D07","Ctrl",15,623651,141
"D07__Ctrl",301000,"Rarefaction",140.676094408436,"D07","Ctrl",15,623651,141
"D07__Ctrl",302000,"Rarefaction",140.678676042088,"D07","Ctrl",15,623651,141
"D07__Ctrl",303000,"Rarefaction",140.681239997747,"D07","Ctrl",15,623651,141
"D07__Ctrl",304000,"Rarefaction",140.683786409714,"D07","Ctrl",15,623651,141
"D07__Ctrl",305000,"Rarefaction",140.686315411367,"D07","Ctrl",15,623651,141
"D07__Ctrl",306000,"Rarefaction",140.688827134827,"D07","Ctrl",15,623651,141
"D07__Ctrl",307000,"Rarefaction",140.691321711168,"D07","Ctrl",15,623651,141
